 151  1801  0 4 2 E 6 8 T 7 1 9 3 5   -
 152  1813  4 0 E 2 8 6 T 1 7 9 5 3   70
 153  1825  0 4 2 E 6 8 1 T 9 7 3 5   -
 154  1837  0 2 4 6 E 8 T 1 9 3 7 5   69
 155  1849  2 0 6 4 8 E 1 T 3 9 5 7   -
 156  1861  0 2 4 6 8 1 E T 9 3 7 5   58
 157  1873  2 0 6 4 1 8 T E 3 9 5 7   -
 158  1885  2 6 0 4 8 1 T 3 E 5 9 7   47
 159  1897  6 2 4 0 1 8 3 T 5 E 7 9   -
 160  1909  2 6 4 1 0 8 T 3 E 5 9 7   36
 161  1921  6 2 1 4 8 0 3 T 5 E 7 9   -
 162  1933  6 2 4 1 8 3 0 5 T 7 E 9   25
 163  1945  2 6 1 4 3 8 5 0 7 T 9 E   -
 164  1957  2 1 6 4 8 3 0 5 T 7 E 9   4
 165  1969  1 2 4 6 3 8 5 0 7 T 9 E   -
 166  1981  2 1 4 3 6 5 8 7 0 9 T E   3
 167  1993  1 2 3 4 5 6 7 8 9 0 E T   -
 168  2005  1 2 3 4 5 6 7 8 9 0 E T   =
 169  2017  1 2 3 4 5 6 7 8 9 0 E T   =
 170  2029  1 2 3 4 5 6 7 8 9 0 E T   =
 171  2041  1 2 3 4 5 6 7 8 9 0 E T   =
 172  2053  1 2 3 4 5 6 7 8 9 0 E T   =
 173  2065  1 2 3 4 5 6 7 8 9 0 E T   =
 174  2077  1 2 3 4 5 6 7 8 9 0 E T   =
