 137  1633  2 9 7 5 6 3 4 1 8 E 0 T   -
 138  1645  2 7 9 6 5 3 1 4 8 0 E T   69
 139  1657  7 2 6 9 3 5 4 1 0 8 T E   -
 140  1669  2 7 9 6 5 3 4 0 1 8 E T   70
 141  1681  7 2 6 9 3 5 0 4 8 1 T E   -
 142  1693  7 6 2 3 9 0 5 4 1 8 E T   8
 143  1705  6 7 3 2 0 9 4 5 8 1 T E   -
 144  1717  7 6 2 3 9 0 5 4 8 T 1 E   9
 145  1729  6 7 3 2 0 9 4 5 T 8 E 1   -
 146  1741  6 3 7 0 2 4 9 T 5 8 1 E   0
 147  1753  3 6 0 7 4 2 T 9 8 5 E 1   -
 148  1765  6 3 7 0 2 4 9 T 5 8 E 1   E
 149  1777  3 6 0 7 4 2 T 9 8 5 1 E   -
 150  1789  3 0 6 4 7 T 2 8 9 5 E 1   0
 151  1801  0 3 4 6 T 7 8 2 5 9 1 E   -
 152  1813  3 0 6 4 7 T 2 8 5 1 9 E   9
 153  1825  0 3 4 6 T 7 8 2 1 5 E 9   -
 154  1837  0 4 3 T 6 8 7 2 5 1 9 E   8
 155  1849  4 0 T 3 8 6 2 7 1 5 E 9   -
 156  1861  0 4 3 T 6 8 2 1 7 5 9 E   70
 157  1873  4 0 T 3 8 6 1 2 5 7 E 9   -
 158  1885  4 T 0 8 3 6 2 1 5 E 7 9   69
 159  1897  T 4 8 0 6 3 1 2 E 5 9 7   -
 160  1909  4 T 0 8 6 1 3 2 5 E 7 9   58
 161  1921  T 4 8 0 1 6 2 3 E 5 9 7   -
 162  1933  T 8 4 0 6 1 2 E 3 9 5 7   47
 163  1945  8 T 0 4 1 6 E 2 9 3 7 5   -
 164  1957  T 8 0 1 4 6 2 E 3 9 5 7   36
 165  1969  8 T 1 0 6 4 E 2 9 3 7 5   -
 166  1981  8 T 0 1 6 E 4 9 2 7 3 5   25
 167  1993  T 8 1 0 E 6 9 4 7 2 5 3   -
 168  2005  T 1 8 0 6 E 4 9 2 7 3 5   4
 169  2017  1 T 0 8 E 6 9 4 7 2 5 3   -
 170  2029  T 1 0 E 8 9 6 7 4 5 2 3   3
 171  2041  1 T E 0 9 8 7 6 5 4 3 2   -
 172  2053  1 T 0 E 8 9 6 7 4 5 2 3   2
 173  2065  T 1 E 0 9 8 7 6 5 4 3 2   -
 174  2077  1 T E 9 0 7 8 5 6 3 4 2   3
 175  2089  T 1 9 E 7 0 5 8 3 6 2 4   -
 176  2101  T 9 1 E 0 7 8 5 6 3 4 2   4
 177  2113  9 T E 1 7 0 5 8 3 6 2 4   -
 178  2125  9 T 1 E 7 5 0 3 8 2 6 4   25
 179  2137  T 9 E 1 5 7 3 0 2 8 4 6   -
 180  2149  9 T E 5 1 7 0 3 8 2 6 4   36
 181  2161  T 9 5 E 7 1 3 0 2 8 4 6   -
 182  2173  T 5 9 E 1 7 3 2 0 4 8 6   47
 183  2185  5 T E 9 7 1 2 3 4 0 6 8   -
 184  2197  T 5 9 E 7 2 1 3 0 4 8 6   58
 185  2209  5 T E 9 2 7 3 1 4 0 6 8   -
 186  2221  5 E T 2 9 7 1 3 4 6 0 8   69
 187  2233  E 5 2 T 7 9 3 1 6 4 8 0   -
 188  2245  5 E T 2 9 7 3 6 1 4 0 8   70
 189  2257  E 5 2 T 7 9 6 3 4 1 8 0   -
 190  2269  E 2 5 7 T 6 9 3 1 4 0 8   8
 191  2281  2 E 7 5 6 T 3 9 4 1 8 0   -
 192  2293  E 2 5 7 T 6 9 3 4 8 1 0   9
 193  2305  2 E 7 5 6 T 3 9 8 4 0 1   -
 194  2317  2 7 E 6 5 3 T 8 9 4 1 0   0
 195  2329  7 2 6 E 3 5 8 T 4 9 0 1   -
 196  2341  2 7 E 6 5 3 T 8 9 4 0 1   E
 197  2353  7 2 6 E 3 5 8 T 4 9 1 0   -
 198  2365  7 6 2 3 E 8 5 4 T 9 0 1   0
 199  2377  6 7 3 2 8 E 4 5 9 T 1 0   -
 200  2389  7 6 2 3 E 8 5 4 9 1 T 0   9
 201  2401  6 7 3 2 8 E 4 5 1 9 0 T   -
 202  2413  6 3 7 8 2 4 E 5 9 1 T 0   8
 203  2425  3 6 8 7 4 2 5 E 1 9 0 T   -
 204  2437  6 3 7 8 2 4 5 1 E 9 T 0   70
 205  2449  3 6 8 7 4 2 1 5 9 E 0 T   -
