 230  2749  7 5 9 3 E 2 1 T 0 4 8 6   -
 231  2761  5 7 3 9 2 E T 1 0 8 4 6   9
 232  2773  7 5 9 3 E 2 T 0 1 8 6 4   70
 233  2785  7 9 5 E 3 T 2 0 8 1 4 6   8
 234  2797  9 7 E 5 T 3 0 2 1 8 6 4   -
 235  2809  9 E 7 T 5 0 3 2 8 1 4 6   8
 236  2821  E 9 T 7 0 5 2 3 8 4 1 6   9
 237  2833  9 E 7 T 5 0 3 2 4 8 6 1   -
 238  2845  9 7 E 5 T 3 0 2 8 4 1 6   8
 239  2857  7 9 5 E 3 T 2 0 4 8 6 1   -
 240  2869  7 5 9 3 E 2 T 4 0 6 8 1   1
 241  2881  5 7 3 9 2 E 4 T 6 0 1 8   -
 242  2893  5 3 7 2 9 4 E T 0 6 8 1   8
 243  2905  3 5 2 7 4 9 T E 6 0 1 8   -
 244  2917  5 3 7 2 9 4 E T 6 1 0 8   9
 245  2929  5 7 3 9 2 E 4 T 1 6 8 0   8
 246  2941  7 5 9 3 E 2 T 4 6 1 0 8   -
 247  2953  7 9 5 E 3 T 2 4 1 6 8 0   8
 248  2965  9 7 E 5 T 3 2 1 4 6 0 8   70
 249  2977  7 9 5 E 3 T 1 2 4 0 6 8   9
 250  2989  9 7 E 5 T 3 2 1 0 4 8 6   -
 251  3001  9 E 7 T 5 3 1 2 4 0 6 8   6
 252  3013  E 9 T 7 5 1 3 2 0 4 8 6   58
 253  3025  9 E 7 T 1 5 3 0 2 8 4 6   7
 254  3037  E 9 T 7 5 1 0 3 8 2 6 4   -
 255  3049  E T 9 7 1 5 3 0 2 8 4 6   4
 256  3061  T E 9 1 7 5 0 3 8 2 6 4   36
 257  3073  E T 1 9 7 0 5 8 3 6 2 4   5
 258  3085  T E 9 1 0 7 8 5 6 3 4 2   -
 259  3097  E T 1 9 0 8 7 6 5 4 3 2   5
 260  3109  E 1 T 9 8 0 6 7 4 5 2 3   4
 261  3121  1 E 9 T 0 8 7 6 5 4 3 2   -
 262  3133  E 1 T 9 0 7 8 5 6 3 4 2   5
 263  3145  1 E 9 T 7 0 5 8 3 6 2 4   -
 264  3157  1 9 E 7 T 5 0 3 8 2 6 4   1
 265  3169  9 1 7 E 5 T 3 0 2 8 4 6   -
 266  3181  1 9 E 7 5 3 T 2 0 4 8 6   5
 267  3193  9 1 7 E 3 5 2 T 4 0 6 8   -
 268  3205  9 7 1 E 5 3 T 2 0 4 8 6   4
 269  3217  7 9 E 1 5 T 3 0 2 8 4 6   5
 270  3229  9 7 1 E T 5 0 3 8 2 6 4   -
 271  3241  7 9 E 1 T 0 5 8 3 6 2 4   5
 272  3253  9 7 E T 1 0 8 5 6 3 4 2   36
 273  3265  9 E 7 T 0 1 5 8 3 6 2 4   4
 274  3277  E 9 T 7 1 0 8 5 6 3 4 2   -
 275  3289  9 E 7 T 0 1 8 6 5 4 3 2   7
 276  3301  E 9 T 7 0 8 1 6 4 5 2 3   58
 277  3313  E T 9 0 7 8 6 1 5 4 3 2   6
 278  3325  T E 0 9 8 7 1 6 4 5 2 3   -
 279  3337  E T 9 0 7 8 6 1 4 2 5 3   9
 280  3349  T E 0 9 8 7 6 4 1 2 3 5   70
 281  3361  T 0 E 8 9 6 7 4 2 1 5 3   8
 282  3373  0 T 8 E 6 9 4 7 1 2 3 5   -
 283  3385  0 8 T 6 E 4 9 7 2 1 5 3   8
 284  3397  8 0 6 T 4 E 7 9 2 5 1 3   9
 285  3409  0 8 T 6 E 4 9 7 5 2 3 1   -
