 233  2785  4 9 5 3 6 T 2 7 E 0 1 8   -
 234  2797  9 4 3 5 T 6 7 2 E 1 0 8   9
 235  2809  4 9 5 3 6 T 2 7 1 E 8 0   -
 236  2821  4 5 9 6 3 2 T 7 E 1 0 8   8
 237  2833  5 4 6 9 2 3 7 T 1 E 8 0   -
 238  2845  4 5 9 6 3 2 7 1 T E 0 8   70
 239  2857  5 4 6 9 2 3 1 7 E T 8 0   -
 240  2869  5 6 4 2 9 3 7 1 E 8 T 0   69
 241  2881  6 5 2 4 3 9 1 7 8 E 0 T   -
 242  2893  5 6 4 2 3 1 9 7 E 8 T 0   58
 243  2905  6 5 2 4 1 3 7 9 8 E 0 T   -
 244  2917  6 2 5 4 3 1 7 8 9 0 E T   47
 245  2929  2 6 4 5 1 3 8 7 0 9 T E   -
 246  2941  6 2 4 1 5 3 7 8 9 0 E T   36
 247  2953  2 6 1 4 3 5 8 7 0 9 T E   -
 248  2965  2 6 4 1 3 8 5 0 7 T 9 E   25
 249  2977  6 2 1 4 8 3 0 5 T 7 E 9   -
 250  2989  6 1 2 4 3 8 5 0 7 T 9 E   4
 251  3001  1 6 4 2 8 3 0 5 T 7 E 9   -
 252  3013  6 1 4 8 2 0 3 T 5 E 7 9   3
 253  3025  1 6 8 4 0 2 T 3 E 5 9 7   -
 254  3037  1 6 4 8 2 0 3 T 5 E 7 9   2
 255  3049  6 1 8 4 0 2 T 3 E 5 9 7   -
 256  3061  1 6 8 0 4 T 2 E 3 9 5 7   3
 257  3073  6 1 0 8 T 4 E 2 9 3 7 5   -
 258  3085  6 0 1 8 4 T 2 E 3 9 5 7   4
 259  3097  0 6 8 1 T 4 E 2 9 3 7 5   -
 260  3109  0 6 1 8 T E 4 9 2 7 3 5   25
 261  3121  6 0 8 1 E T 9 4 7 2 5 3   -
 262  3133  0 6 8 E 1 T 4 9 2 7 3 5   36
 263  3145  6 0 E 8 T 1 9 4 7 2 5 3   -
 264  3157  6 E 0 8 1 T 9 7 4 5 2 3   47
 265  3169  E 6 8 0 T 1 7 9 5 4 3 2   -
 266  3181  6 E 0 8 T 7 1 9 4 5 2 3   58
 267  3193  E 6 8 0 7 T 9 1 5 4 3 2   -
 268  3205  E 8 6 7 0 T 1 9 5 3 4 2   69
 269  3217  8 E 7 6 T 0 9 1 3 5 2 4   -
 270  3229  E 8 6 7 0 T 9 3 1 5 4 2   70
 271  3241  8 E 7 6 T 0 3 9 5 1 2 4   -
 272  3253  8 7 E T 6 3 0 9 1 5 4 2   8
 273  3265  7 8 T E 3 6 9 0 5 1 2 4   -
 274  3277  8 7 E T 6 3 0 9 5 2 1 4   9
 275  3289  7 8 T E 3 6 9 0 2 5 4 1   -
 276  3301  7 T 8 3 E 9 6 0 2 5 1 4   890
 277  3313  T 7 3 8 9 E 2 6 5 0 4 1   ?
 278  3325  7 T 8 3 E 9 6 2 0 5 4 1   E
 279  3337  T 7 3 8 9 E 2 6 5 0 1 4   -
 280  3349  T 3 7 9 8 2 E 5 6 0 4 1   0
 281  3361  3 T 9 7 2 8 5 E 0 6 1 4   -
 282  3373  T 3 7 9 8 2 E 5 0 1 6 4   9
 283  3385  3 T 9 7 2 8 5 E 1 0 4 6   -
 284  3397  3 9 T 2 7 5 8 E 0 1 6 4   8
 285  3409  9 3 2 T 5 7 E 8 1 0 4 6   -
 286  3421  3 9 T 2 7 5 E 1 8 0 6 4   70
 287  3433  9 3 2 T 5 7 1 E 0 8 4 6   -
 288  3445  9 2 3 5 T 7 E 1 0 4 8 6   69
 289  3457  2 9 5 3 7 T 1 E 4 0 6 8   -
 290  3469  9 2 3 5 7 1 T E 0 4 8 6   58
 291  3481  2 9 5 3 1 7 E T 4 0 6 8   -
 292  3493  2 5 9 3 7 1 E 4 T 6 0 8   47
