Bell No,Actual Time,Ideal time from medium response Kalman Filter
2,107690,107715
11,107910,107902
1,108100,108090
7,108270,108278
5,108480,108465
12,108690,108653
3,109080,109082
8,109290,109269
4,109430,109456
6,109630,109643
9,109850,109829
2,110010,110016
10,110180,110203
1,110340,110390
11,110510,110577
5,110780,110763
7,110970,110950
12,111170,111137
8,111350,111324
3,111520,111510
4,111730,111697
9,111870,111884
6,112060,112071
10,112220,112258
2,112460,112444
11,112580,112631
1,112770,112818
7,113000,113005
5,113220,113191
12,113440,113378
8,113770,113798
4,113940,113985
3,114170,114171
6,114360,114358
9,114490,114545
2,114740,114731
10,114930,114918
1,115020,115104
11,115270,115291
5,115490,115478
7,115670,115664
12,115890,115851
4,116070,116037
8,116250,116224
3,116380,116411
9,116570,116597
6,116780,116784
10,116980,116970
2,117180,117157
11,117390,117343
1,117470,117530
7,117690,117717
5,117870,117903
12,118160,118090
8,118540,118528
4,118740,118716
9,118880,118904
3,119060,119092
10,119260,119280
6,119480,119468
11,119610,119656
2,119880,119845
1,120060,120033
5,120260,120221
7,120440,120409
12,120590,120597
8,120790,120785
9,120910,120973
4,121150,121161
10,121320,121349
3,121550,121537
11,121750,121726
6,121950,121914
1,122100,122102
2,122280,122290
7,122470,122478
5,122670,122666
12,122860,122854
9,123250,123277
8,123420,123464
4,123650,123652
3,123890,123840
10,124010,124028
6,124200,124216
11,124380,124404
2,124540,124592
1,124740,124780
5,125030,124967
7,125210,125155
12,125380,125343
9,125480,125531
4,125750,125719
8,125870,125907
10,126070,126095
3,126300,126283
11,126480,126470
6,126640,126658
1,126820,126846
2,127020,127034
7,127210,127222
5,127420,127410
12,127650,127598
4,128030,128029
9,128200,128218
8,128380,128407
3,128610,128596
10,128740,128784
6,128980,128973
11,129150,129162
2,129320,129351
1,129530,129540
5,129780,129729
7,129940,129918
12,130150,130106
4,130350,130295
8,130510,130484
9,130670,130673
10,130810,130862
3,131020,131051
11,131270,131239
6,131420,131428
1,131610,131617
2,131780,131806
7,131980,131995
5,132190,132184
12,132390,132372
8,132760,132786
4,133000,132973
10,133170,133161
9,133350,133348
11,133530,133536
3,133710,133724
1,133890,133911
6,134040,134099
7,134240,134286
2,134450,134474
5,134630,134661
12,134880,134849
4,135080,135036
8,135230,135224
10,135370,135412
11,135620,135599
9,135790,135787
1,135960,135974
3,136160,136162
7,136320,136349
6,136480,136537
5,136770,136724
2,136910,136912
12,137170,137100
4,137560,137527
10,137740,137715
8,137870,137903
9,138060,138092
11,138300,138280
3,138460,138468
1,138660,138657
6,138830,138845
7,139010,139033
2,139210,139222
5,139430,139410
12,139600,139598
10,139760,139787
4,140010,139975
8,140130,140163
11,140340,140352
9,140550,140540
1,140730,140728
3,140930,140917
7,141090,141105
6,141270,141293
5,141500,141482
2,141690,141670
12,141880,141858
10,142310,142281
8,142480,142469
4,142700,142657
9,142800,142846
11,142990,143034
3,143200,143222
1,143400,143411
6,143590,143599
7,143790,143787
2,143990,143976
5,144210,144164
12,144360,144352
8,144540,144541
10,144690,144729
4,144900,144917
11,145080,145106
9,145270,145294
1,145450,145482
3,145650,145671
7,145860,145859
6,146050,146047
5,146280,146236
2,146430,146424
12,146660,146612
10,147040,147026
8,147180,147214
11,147360,147401
4,147590,147589
1,147750,147777
9,147930,147965
7,148140,148153
3,148360,148340
5,148570,148528
6,148750,148716
2,148900,148904
12,149100,149092
10,149240,149279
11,149460,149467
8,149660,149655
1,149830,149843
4,150040,150031
7,150210,150218
9,150390,150406
5,150580,150594
3,150760,150782
2,150990,150970
6,151150,151157
12,151390,151345
11,151750,151763
10,151960,151951
8,152100,152139
4,152340,152327
1,152510,152515
9,152690,152703
7,152880,152891
3,153070,153078
5,153310,153266
6,153450,153454
2,153630,153642
12,153800,153830
11,154020,154018
8,154200,154206
10,154340,154394
1,154570,154582
4,154840,154770
7,155000,154958
9,155160,155146
5,155360,155334
3,155490,155522
2,155710,155710
6,155890,155897
12,156070,156085
8,156460,156486
11,156610,156674
10,156830,156862
4,157020,157050
1,157230,157238
9,157400,157426
7,157620,157614
3,157870,157802
5,158040,157990
6,158180,158178
2,158360,158366
12,158530,158554
8,158730,158742
10,158880,158930
11,159060,159118
1,159240,159306
4,159470,159494
7,159680,159681
9,159860,159869
5,160110,160057
3,160270,160245
2,160480,160433
6,160650,160621
12,160810,160809
10,161240,161216
8,161360,161404
1,161550,161591
11,161740,161779
7,161970,161967
4,162150,162154
5,162350,162342
9,162560,162530
3,162740,162718
2,162900,162905
6,163110,163093
12,163300,163281
8,163450,163468
10,163620,163656
1,163790,163844
7,164010,164032
11,164240,164219
5,164390,164407
4,164620,164595
3,164800,164782
9,164990,164970
6,165170,165158
2,165340,165346
12,165530,165533
8,165920,165938
1,166120,166125
10,166260,166313
11,166500,166501
7,166740,166688
4,166860,166876
5,167080,167064
9,167240,167251
3,167430,167439
2,167600,167627
6,167780,167814
12,168020,168002
1,168170,168190
8,168390,168377
10,168520,168565
7,168750,168753
11,168930,168940
5,169160,169128
4,169360,169316
3,169550,169503
9,169650,169691
6,169870,169879
2,170060,170066
12,170270,170254
1,170660,170662
10,170830,170850
8,171050,171039
11,171240,171227
7,171400,171416
4,171600,171604
5,171810,171793
9,171970,171981
3,172180,172170
2,172320,172358
6,172510,172546
12,172740,172735
10,172900,172923
1,173100,173112
8,173290,173300
7,173500,173489
11,173670,173677
5,173900,173866
4,174040,174054
3,174290,174243
9,174430,174431
6,174600,174620
2,174810,174808
12,175020,174997
1,175420,175407
10,175600,175595
7,175770,175784
8,175990,175972
5,176200,176160
11,176330,176349
3,176550,176537
4,176780,176725
9,176850,176914
2,177100,177102
6,177250,177290
12,177440,177479
1,177650,177667
7,177880,177855
10,178020,178044
5,178260,178232
8,178420,178420
3,178630,178609
11,178800,178797
9,178940,178985
4,179180,179174
6,179360,179362
2,179570,179550
12,179760,179739
7,180190,180139
1,180330,180327
10,180480,180515
8,180680,180703
5,180890,180892
11,181090,181080
3,181240,181268
4,181520,181456
9,181570,181644
2,181820,181832
6,181980,182020
12,182190,182209
7,182360,182397
10,182540,182585
1,182750,182773
5,183010,182961
8,183130,183149
3,183380,183337
11,183540,183526
9,183700,183714
4,183930,183902
6,184100,184090
2,184270,184278
12,184500,184466
10,184920,184875
7,185070,185065
1,185250,185254
8,185420,185443
5,185660,185633
11,185810,185822
3,185990,186011
4,186240,186201
9,186370,186390
2,186560,186579
6,186760,186769
12,186930,186958
10,187070,187147
1,187360,187337
7,187500,187526
5,187740,187715
8,187910,187905
3,188110,188094
11,188280,188283
9,188440,188473
4,188670,188662
6,188890,188851
2,189040,189041
12,189270,189230
1,189630,189638
10,189830,189827
5,190010,190016
7,190230,190205
3,190460,190395
8,190600,190584
9,190760,190773
11,190930,190962
4,191180,191151
2,191310,191340
6,191510,191529
12,191720,191719
10,191820,191908
1,192050,192097
5,192300,192286
3,192500,192475
7,192710,192664
9,192830,192854
8,193070,193043
4,193270,193232
11,193410,193421
6,193610,193610
2,193780,193799
12,194000,193988
10,194390,194392
5,194590,194580
1,194750,194769
7,194980,194958
3,195200,195146
8,195330,195335
9,195510,195523
11,195730,195712
4,195940,195901
2,196080,196089
6,196210,196278
12,196440,196466
5,196610,196655
10,196780,196844
1,197000,197032
3,197270,197221
7,197440,197410
9,197560,197598
8,197740,197787
4,198000,197975
11,198190,198164
6,198360,198353
2,198580,198541
12,198750,198730
5,199110,199128
1,199310,199316
10,199480,199505
7,199690,199693
3,199910,199881
8,200060,200069
9,200240,200258
11,200450,200446
4,200676,200634
2,200840,200822
6,200970,201010
12,201220,201199
1,201340,201387
5,201580,201575
10,201710,201763
3,201950,201952
7,202160,202140
9,202300,202328
8,202500,202516
4,202740,202705
11,202880,202893
6,203040,203081
2,203300,203269
12,203510,203457
5,203850,203858
1,204030,204047
3,204270,204237
10,204400,204426
9,204630,204616
7,204790,204805
4,204970,204994
8,205190,205184
11,205390,205373
2,205570,205563
6,205720,205752
12,205930,205941
5,206090,206131
3,206350,206320
1,206510,206509
9,206670,206699
10,206830,206888
4,207080,207078
7,207240,207267
11,207550,207456
8,207670,207646
6,207820,207835
2,208030,208025
12,208240,208214
3,208620,208609
5,208890,208798
1,209000,208987
10,209120,209177
9,209320,209366
7,209540,209555
4,209790,209745
8,209870,209934
11,210016,210123
2,210280,210312
6,210480,210502
12,210670,210691
3,210940,210880
1,211110,211070
5,211300,211259
9,211410,211448
10,211610,211638
4,211860,211827
7,212000,212016
11,212230,212206
8,212360,212395
6,212570,212584
2,212820,212774
12,212990,212963
1,213380,213365
3,213620,213554
5,213800,213743
10,213930,213932
9,214100,214121
7,214270,214310
4,214500,214499
8,214680,214688
11,214910,214877
2,215030,215066
6,215190,215255
12,215410,215444
1,215610,215633
5,215840,215822
3,216030,216011
9,216160,216200
10,216350,216389
4,216610,216577
7,216780,216766
11,216990,216955
8,217170,217144
6,217300,217333
2,217540,217522
12,217730,217711
5,218170,218113
1,218320,218302
9,218490,218491
3,218680,218679
4,218900,218868
10,219040,219057
11,219190,219246
7,219450,219434
6,219630,219623
8,219750,219812
2,219990,220000
12,220190,220189
1,220350,220378
5,220580,220567
9,220710,220755
4,220980,220944
3,221140,221133
11,221310,221322
10,221490,221510
6,221720,221699
7,221900,221888
2,222110,222076
8,222240,222265
12,222480,222454
1,222890,222855
9,223010,223044
5,223200,223233
3,223460,223422
4,223680,223610
10,223770,223799
11,223950,223988
7,224200,224177
6,224360,224365
8,224530,224554
2,224740,224743
12,224890,224932
9,225080,225120
1,225320,225309
5,225510,225498
4,225720,225687
3,225900,225875
11,226070,226064
10,226230,226253
6,226440,226442
7,226640,226630
2,226840,226819
8,227000,227008
12,227190,227197
9,227650,227604
5,227770,227793
1,227990,227981
3,228230,228170
4,228410,228358
10,228510,228547
11,228720,228735
7,228870,228924
6,229110,229112
8,229300,229301
2,229460,229490
12,229630,229678
5,229890,229867
9,230050,230055
1,230270,230244
4,230500,230432
3,230670,230621
11,230800,230809
10,230970,230998
6,231160,231186
7,231360,231375
2,231560,231563
8,231760,231752
12,231940,231941
9,232390,232349
5,232510,232537
4,232740,232725
1,232940,232913
11,233130,233101
3,233330,233289
6,233480,233477
10,233630,233664
7,233820,233852
8,234000,234040
2,234210,234228
12,234380,234416
9,234610,234604
4,234850,234792
5,234990,234979
11,235210,235167
1,235360,235355
6,235540,235543
3,235740,235731
7,235910,235919
10,236070,236107
2,236310,236294
8,236460,236482
12,236670,236670
4,237050,237076
9,237260,237263
5,237470,237451
1,237670,237639
11,237840,237826
3,238070,238014
6,238230,238202
10,238370,238389
7,238530,238577
8,238750,238765
2,238940,238952
12,239100,239140
4,239340,239328
5,239480,239515
9,239680,239703
11,239900,239891
1,240070,240078
6,240290,240266
3,240490,240454
7,240680,240641
10,240800,240829
2,241010,241017
8,241210,241204
12,241390,241392
5,241840,241805
4,242040,241993
9,242150,242180
1,242350,242368
11,242550,242556
3,242810,242744
6,242960,242932
10,243100,243120
7,243280,243308
8,243480,243496
2,243680,243684
12,243830,243871
5,244080,244059
9,244230,244247
4,244450,244435
11,244640,244623
1,244790,244811
6,244990,244999
3,245220,245187
7,245370,245375
10,245570,245562
2,245750,245750
8,245930,245938
12,246130,246126
9,246550,246543
5,246780,246731
11,246950,246919
4,247150,247107
6,247340,247296
1,247490,247484
7,247700,247672
3,247870,247861
10,247980,248049
8,248170,248237
2,248390,248426
12,248550,248614
5,248770,248802
9,248980,248991
11,249180,249179
6,249380,249367
4,249610,249556
7,249780,249744
1,249950,249932
10,250110,250120
3,250340,250309
2,250490,250497
8,250680,250685
12,250870,250874
5,251300,251276
11,251450,251463
9,251600,251650
4,251860,251837
6,252040,252024
1,252210,252211
7,252440,252399
3,252620,252586
10,252760,252773
8,252960,252960
2,253150,253147
12,253310,253334
11,253490,253521
5,253710,253708
9,253800,253895
6,254050,254082
4,254290,254269
7,254470,254456
1,254630,254643
10,254800,254830
3,255050,255017
2,255210,255204
8,255410,255391
12,255610,255578
11,255950,255972
9,256100,256159
5,256320,256346
4,256510,256533
6,256730,256720
1,256890,256908
7,257090,257095
3,257300,257282
10,257430,257469
8,257690,257656
2,257860,257843
12,258040,258031
9,258140,258218
11,258410,258405
5,258620,258592
6,258830,258779
4,259030,258966
7,259170,259153
1,259310,259341
10,259460,259528
3,259660,259715
2,259910,259902
8,260120,260089
12,260300,260276
11,260690,260689
9,260820,260877
6,261080,261064
5,261320,261252
7,261510,261440
4,261670,261628
10,261790,261815
1,261930,262003
2,262180,262191
3,262380,262379
8,262550,262566
12,262750,262754
11,262970,262942
6,263170,263129
9,263270,263317
7,263540,263505
5,263720,263693
10,263840,263880
4,264090,264068
2,264240,264256
1,264420,264444
8,264650,264631
3,264820,264819
12,265000,265007
6,265380,265402
11,265570,265588
9,265700,265775
5,266010,265962
7,266190,266148
4,266380,266335
10,266500,266521
1,266680,266708
2,266890,266895
3,267090,267081
8,267260,267268
12,267460,267455
6,267620,267641
9,267790,267828
11,267990,268015
7,268200,268201
5,268410,268388
10,268540,268575
4,268800,268761
2,268930,268948
1,269120,269135
8,269340,269321
3,269510,269508
12,269720,269694
9,270120,270105
6,270280,270292
11,270450,270480
5,270730,270667
7,270860,270855
4,271070,271043
10,271240,271230
1,271410,271418
2,271610,271605
3,271820,271793
8,271950,271981
12,272160,272168
9,272300,272356
11,272540,272543
6,272700,272731
7,272920,272918
5,273140,273106
10,273280,273294
4,273490,273481
2,273660,273669
1,273860,273856
8,274050,274044
3,274240,274232
12,274440,274419
11,274800,274818
9,274960,275007
7,275200,275195
6,275390,275383
10,275570,275572
5,275800,275760
2,275950,275948
4,276170,276137
8,276310,276325
1,276510,276513
3,276690,276702
12,276910,276890
9,277020,277078
11,277250,277267
7,277420,277455
10,277590,277643
6,277850,277832
2,278010,278020
5,278250,278208
8,278400,278396
4,278580,278585
3,278780,278773
1,279000,278961
12,279160,279150
9,279530,279547
7,279690,279735
11,279910,279923
6,280130,280111
10,280280,280299
5,280560,280487
2,280710,280675
4,280930,280863
8,281030,281050
1,281190,281238
3,281420,281426
12,281620,281614
7,281730,281802
9,281950,281990
11,282180,282178
10,282280,282366
6,282580,282554
2,282740,282742
5,282980,282930
8,283150,283118
4,283310,283306
3,283490,283494
1,283680,283682
12,283890,283870
7,284240,284274
11,284470,284463
9,284620,284653
6,284840,284842
10,284980,285031
5,285270,285221
2,285400,285410
4,285690,285600
8,285800,285789
1,285990,285978
3,286200,286168
12,286320,286357
11,286560,286546
7,286740,286736
9,286900,286925
10,287050,287114
6,287290,287304
2,287480,287493
5,287700,287682
8,287900,287872
4,288060,288061
3,288290,288250
1,288430,288440
12,288620,288629
7,289020,289028
11,289220,289217
10,289380,289406
9,289580,289595
2,289780,289784
6,289960,289973
8,290160,290162
5,290380,290351
3,290590,290540
4,290780,290729
1,290930,290918
12,291100,291107
7,291270,291296
10,291460,291485
11,291630,291674
2,291830,291863
9,292050,292052
8,292250,292241
6,292450,292430
3,292620,292619
5,292840,292808
1,292950,292997
4,293210,293186
12,293380,293375
10,293820,293771
7,293960,293959
11,294110,294148
9,294330,294337
2,294510,294526
6,294700,294714
8,294920,294903
5,295140,295092
3,295260,295281
4,295510,295469
1,295640,295658
12,295810,295847
10,295970,296036
11,296200,296224
7,296390,296413
2,296590,296602
9,296770,296791
8,296980,296979
6,297190,297168
3,297360,297357
5,297580,297546
1,297720,297734
4,297960,297923
12,298130,298112
11,298490,298504
10,298650,298693
7,298880,298881
9,299090,299069
2,299280,299258
6,299470,299446
8,299610,299635
