Bell No,Actual Time,Ideal time from medium response Kalman Filter
2,285830,285795
11,286220,286216
7,286390,286418
9,286610,286619
10,286790,286821
1,287030,287023
12,287240,287224
5,287420,287426
8,287640,287628
3,287850,287829
6,288040,288031
2,288250,288233
4,288440,288434
7,288620,288636
11,288780,288838
9,289040,289039
1,289280,289241
10,289380,289443
12,289610,289644
8,289840,289846
5,290050,290048
6,290260,290249
3,290460,290451
4,290690,290653
2,290880,290854
11,291230,291275
7,291420,291476
1,291700,291678
9,291870,291879
12,292100,292081
10,292300,292282
5,292510,292483
8,292700,292685
3,292930,292886
6,293100,293087
2,293300,293289
4,293500,293490
11,293670,293692
7,293880,293893
9,294040,294094
1,294300,294296
12,294520,294497
5,294700,294699
10,294890,294900
3,295110,295101
8,295290,295303
2,295510,295504
6,295680,295705
4,295920,295907
7,296320,296326
11,296550,296528
1,296770,296729
9,296870,296930
5,297100,297132
12,297370,297333
3,297550,297534
10,297740,297735
2,297970,297937
8,298150,298138
4,298310,298339
6,298530,298541
7,298710,298742
1,298950,298943
11,299080,299144
9,299330,299346
12,299570,299547
5,299710,299748
10,299930,299950
3,300150,300151
8,300370,300352
2,300580,300554
6,300770,300755
4,300990,300956
1,301410,301381
7,301580,301582
9,301780,301784
11,302000,301985
5,302140,302186
12,302380,302387
3,302610,302589
10,302820,302790
2,303010,302991
8,303180,303192
4,303390,303393
6,303600,303595
7,303800,303796
1,304030,303997
9,304210,304198
5,304400,304399
11,304560,304601
3,304750,304802
12,304960,305003
2,305230,305204
10,305420,305406
4,305610,305607
8,305790,305808
6,306050,306009
1,306460,306436
7,306650,306637
5,306840,306837
9,307030,307038
3,307270,307239
11,307450,307440
2,307660,307641
12,307810,307842
4,308030,308043
10,308250,308244
6,308400,308445
8,308630,308646
1,308880,308847
7,309070,309048
9,309250,309249
5,309460,309449
11,309630,309650
3,309830,309851
12,310020,310052
2,310270,310253
10,310470,310454
4,310670,310655
8,310840,310856
6,311070,311057
7,311490,311491
1,311710,311692
5,311910,311892
9,312100,312093
3,312350,312293
11,312540,312493
2,312690,312694
12,312900,312894
4,313080,313095
10,313250,313295
6,313460,313496
8,313680,313696
1,313920,313897
7,314100,314097
5,314340,314298
3,314510,314498
9,314690,314699
2,314920,314899
11,315080,315100
4,315310,315300
12,315530,315501
6,315670,315701
10,315880,315902
8,316090,316102
7,316570,316534
1,316750,316733
3,316990,316933
5,317130,317132
2,317370,317332
9,317510,317531
4,317710,317731
11,317940,317930
6,318080,318129
12,318340,318329
8,318470,318528
10,318680,318728
7,318940,318927
3,319140,319127
1,319390,319326
5,319530,319526
9,319750,319725
2,319910,319925
11,320110,320124
4,320300,320324
12,320530,320523
6,320720,320723
10,320900,320922
8,321150,321122
3,321570,321559
7,321730,321759
5,321960,321960
1,322220,322160
2,322340,322360
9,322610,322561
4,322790,322761
11,322970,322961
6,323150,323161
12,323350,323362
8,323500,323562
10,323760,323762
3,323950,323963
7,324160,324163
1,324420,324363
5,324540,324564
2,324780,324764
4,325000,324964
9,325180,325165
6,325380,325365
11,325520,325565
8,325740,325766
12,325950,325966
10,326190,326166
7,326570,326597
3,326840,326798
5,326990,326998
1,327190,327199
4,327400,327400
2,327620,327600
6,327810,327801
9,328000,328002
8,328170,328202
11,328400,328403
10,328580,328603
12,328790,328804
3,329040,329005
7,329200,329205
5,329400,329406
4,329610,329607
1,329800,329807
2,330040,330008
9,330230,330209
6,330420,330409
11,330590,330610
8,330800,330811
12,331000,331011
10,331220,331212
7,331610,331646
3,331880,331846
4,332050,332047
5,332230,332247
2,332490,332448
1,332680,332648
6,332860,332848
9,333060,333049
8,333240,333249
11,333430,333449
10,333620,333650
12,333850,333850
7,334040,334050
4,334260,334251
3,334470,334451
5,334640,334652
1,334880,334852
2,335090,335052
6,335240,335253
8,335440,335453
9,335630,335653
10,335860,335854
11,336020,336054
12,336270,336255
4,336680,336678
7,336820,336878
5,337040,337078
3,337320,337277
2,337490,337477
1,337700,337677
8,337900,337877
6,338100,338077
10,338260,338277
9,338450,338477
12,338700,338677
11,338850,338876
7,339000,339076
4,339280,339276
3,339490,339476
5,339660,339676
2,339880,339876
8,340070,340076
1,340290,340275
6,340460,340475
9,340690,340675
10,340890,340875
