 151  1801  4 2 6 8 1 0 T 3 E 5 9 7   14
 152  1813  2 4 6 1 8 0 3 T 5 E 7 9   36
 153  1825  4 2 1 6 8 3 0 5 T 7 E 9   5
 154  1837  2 4 6 1 3 8 5 0 7 T 9 E   -
 155  1849  4 2 1 6 3 5 8 7 0 9 T E   5
 156  1861  4 1 2 6 5 3 7 8 9 0 E T   14
 157  1873  1 4 6 2 3 5 8 7 0 9 T E   -
 158  1885  4 1 2 6 3 8 5 0 7 T 9 E   5
 159  1897  1 4 6 2 8 3 0 5 T 7 E 9   -
 160  1909  1 6 4 8 2 0 3 T 5 E 7 9   1
 161  1921  6 1 8 4 0 2 T 3 E 5 9 7   -
 162  1933  1 6 4 8 0 T 2 E 3 9 5 7   5
 163  1945  6 1 8 4 T 0 E 2 9 3 7 5   -
 164  1957  6 8 1 4 0 T 2 E 3 9 5 7   14
 165  1969  8 6 4 1 0 2 T 3 E 5 9 7   5
 166  1981  6 8 1 4 2 0 3 T 5 E 7 9   -
 167  1993  8 6 4 1 2 3 0 5 T 7 E 9   5
 168  2005  6 8 4 2 1 3 5 0 7 T 9 E   36
 169  2017  6 4 8 2 3 1 0 5 T 7 E 9   14
 170  2029  4 6 2 8 1 3 5 0 7 T 9 E   -
 171  2041  6 4 8 2 3 1 5 7 0 9 T E   7
 172  2053  4 6 2 8 3 5 1 7 9 0 E T   58
 173  2065  4 2 6 3 8 5 7 1 0 9 T E   16
 174  2077  2 4 3 6 5 8 1 7 9 0 E T   -
 175  2089  4 2 6 3 8 5 7 1 9 E 0 T   9
 176  2101  2 4 3 6 5 8 7 9 1 E T 0   70
 177  2113  2 3 4 5 6 7 8 9 E 1 0 T   18
 178  2125  3 2 5 4 7 6 9 8 1 E T 0   -
 179  2137  3 5 2 7 4 9 6 8 E 1 0 T   18
 180  2149  5 3 7 2 9 4 8 6 E 0 1 T   9
 181  2161  3 5 2 7 4 9 6 8 0 E T 1   -
 182  2173  3 2 5 4 7 6 9 8 E 0 1 T   18
 183  2185  2 3 4 5 6 7 8 9 0 E T 1   -
 184  2197  2 4 3 6 5 8 7 0 9 T E 1   1
 185  2209  4 2 6 3 8 5 0 7 T 9 1 E   -
 186  2221  4 6 2 8 3 0 5 7 9 T E 1   18
 187  2233  6 4 8 2 0 3 7 5 T 9 1 E   -
 188  2245  4 6 2 8 3 0 5 7 T 1 9 E   9
 189  2257  4 2 6 3 8 5 0 7 1 T E 9   18
 190  2269  2 4 3 6 5 8 7 0 T 1 9 E   -
 191  2281  2 3 4 5 6 7 8 0 1 T E 9   18
 192  2293  3 2 5 4 7 6 8 1 0 T 9 E   70
 193  2305  2 3 4 5 6 7 1 8 0 9 T E   9
 194  2317  3 2 5 4 7 6 8 1 9 0 E T   -
 195  2329  3 5 2 7 4 6 1 8 0 9 T E   16
 196  2341  5 3 7 2 4 1 6 8 9 0 E T   58
 197  2353  3 5 2 7 1 4 6 9 8 E 0 T   7
 198  2365  5 3 7 2 4 1 9 6 E 8 T 0   -
 199  2377  5 7 3 2 1 4 6 E 9 8 0 T   ?
 200  2389  7 5 3 1 2 4 E 9 6 8 T 0   ?
 201  2401  5 7 1 3 2 9 4 E 6 T 8 0   ?
 202  2413  7 5 3 1 9 2 E 4 T 6 0 8   -
 203  2425  5 7 1 3 9 E 2 T 4 0 6 8   5
 204  2437  5 1 7 3 E 9 T 2 0 4 8 6   14
 205  2449  1 5 3 7 9 E 2 T 4 0 6 8   -
 206  2461  5 1 7 3 9 2 E 4 T 6 0 8   5
 207  2473  1 5 3 7 2 9 4 E 6 T 8 0   -
 208  2485  1 3 5 2 7 4 9 6 E 8 T 0   1
 209  2497  3 1 2 5 4 7 6 9 8 E 0 T   -
 210  2509  1 2 3 4 5 6 7 8 9 0 E T   ?
 211  2521  1 2 3 4 5 6 7 8 9 0 E T   =
 212  2533  1 2 3 4 5 6 7 8 9 0 E T   =
 213  2545  1 2 3 4 5 6 7 8 9 0 E T   =
 214  2557  1 2 3 4 5 6 7 8 9 0 E T   =
