Bell No,Actual Time,Ideal time from medium response Kalman Filter
8,159040,159066
2,159220,159268
6,159440,159469
4,159710,159671
9,160080,160096
5,160330,160298
1,160550,160500
7,160680,160701
11,160880,160903
12,161080,161105
3,161320,161307
10,161540,161508
2,161710,161710
8,161930,161912
4,162050,162113
6,162260,162315
9,162500,162517
5,162700,162719
7,162930,162920
1,163150,163122
11,163320,163324
3,163540,163526
12,163740,163727
2,163940,163929
10,164160,164131
4,164360,164332
8,164510,164534
6,164720,164736
5,165190,165164
9,165400,165366
1,165600,165568
7,165780,165770
3,165980,165972
11,166160,166174
2,166350,166376
12,166560,166578
4,166730,166780
10,166990,166982
6,167150,167184
8,167380,167386
5,167540,167588
1,167850,167790
9,168030,167992
7,168170,168194
11,168390,168396
3,168580,168598
12,168800,168800
2,168980,169002
10,169210,169204
4,169430,169406
8,169600,169608
6,169850,169810
1,170290,170244
5,170460,170445
7,170660,170646
9,170860,170847
3,171060,171049
11,171240,171250
2,171420,171451
12,171670,171652
4,171840,171854
10,172050,172055
6,172220,172256
8,172480,172458
5,172690,172659
1,172870,172860
7,173070,173061
3,173310,173263
9,173470,173464
2,173670,173665
11,173830,173866
4,174030,174068
12,174270,174269
6,174420,174470
10,174650,174671
8,174930,174873
1,175350,175301
5,175530,175501
3,175720,175701
7,175920,175901
2,176100,176101
9,176300,176300
4,176460,176500
11,176670,176700
6,176850,176900
12,177090,177100
8,177350,177300
10,177510,177500
1,177700,177700
3,177900,177900
5,178090,178100
2,178300,178300
7,178500,178499
4,178650,178699
9,178890,178899
6,179060,179099
11,179270,179299
8,179540,179499
12,179700,179699
10,179960,179899
3,180380,180326
1,180580,180525
2,180770,180724
5,180930,180922
4,181090,181121
7,181260,181319
6,181440,181518
9,181680,181716
8,181900,181915
11,182120,182114
10,182340,182312
12,182520,182511
1,182750,182709
3,182910,182908
2,183120,183106
4,183290,183305
5,183520,183503
6,183660,183702
7,183860,183901
8,184070,184099
9,184300,184298
10,184510,184496
11,184690,184695
12,184950,184893
3,185450,185352
1,185620,185551
4,185750,185750
2,185980,185950
6,186160,186149
5,186390,186349
8,186550,186548
7,186730,186747
10,186930,186947
9,187100,187146
12,187330,187345
11,187520,187545
3,187800,187744
4,187970,187944
1,188180,188143
2,188350,188342
5,188540,188542
6,188690,188741
7,188930,188940
8,189160,189140
9,189350,189339
10,189540,189539
11,189720,189738
12,189930,189937
4,190360,190375
3,190580,190575
2,190800,190774
1,191030,190974
6,191140,191173
5,191380,191373
8,191570,191573
7,191780,191772
10,191960,191972
9,192150,192171
12,192340,192371
11,192540,192571
4,192760,192770
3,192990,192970
1,193210,193169
2,193390,193369
6,193520,193569
8,193790,193768
5,193960,193968
10,194150,194168
7,194390,194367
12,194590,194567
9,194740,194766
11,194980,194966
3,195440,195413
4,195620,195613
2,195820,195814
1,196060,196014
8,196220,196215
6,196410,196416
10,196610,196616
5,196770,196817
12,197000,197017
7,197250,197218
11,197430,197418
9,197560,197619
4,197820,197820
3,198050,198020
2,198240,198221
8,198460,198421
1,198650,198622
6,198830,198822
5,198990,199023
10,199200,199223
7,199450,199424
12,199620,199625
9,199800,199825
11,200030,200026
3,200490,200468
4,200660,200668
8,200860,200869
2,201110,201070
6,201260,201271
1,201520,201472
10,201680,201672
5,201820,201873
12,202020,202074
7,202270,202275
11,202480,202476
9,202660,202677
3,202890,202877
8,203090,203078
4,203300,203279
2,203520,203480
1,203730,203681
6,203850,203881
10,204050,204082
12,204260,204283
5,204470,204484
11,204690,204685
7,204900,204885
9,205090,205086
8,205560,205528
3,205750,205728
2,205940,205928
4,206130,206128
6,206310,206328
1,206570,206528
12,206700,206728
10,206900,206928
11,207090,207128
5,207330,207328
9,207500,207528
7,207690,207728
3,207980,207928
8,208150,208128
4,208330,208328
2,208550,208528
6,208700,208728
12,208960,208928
1,209180,209128
10,209340,209329
5,209500,209529
11,209710,209729
7,209900,209929
9,210130,210129
8,210590,210581
3,210790,210783
2,211030,210984
4,211200,211185
12,211370,211386
6,211590,211587
10,211810,211789
1,212020,211990
11,212170,212191
5,212350,212392
9,212550,212594
7,212760,212795
8,213040,212996
2,213220,213197
3,213400,213398
12,213640,213600
4,213830,213801
6,214010,214002
1,214220,214203
10,214410,214404
11,214600,214606
9,214800,214807
5,215000,215008
7,215170,215209
2,215640,215649
8,215870,215850
12,216050,216050
3,216230,216250
6,216460,216451
4,216650,216651
10,216860,216851
1,217090,217052
9,217240,217252
11,217440,217452
7,217600,217653
5,217840,217853
8,218070,218053
2,218300,218254
3,218450,218454
12,218610,218654
4,218840,218855
6,219040,219055
10,219270,219255
9,219490,219456
1,219730,219656
11,219890,219856
5,220000,220057
7,220210,220257
2,220680,220696
8,220920,220896
12,221050,221096
3,221300,221296
6,221490,221497
4,221670,221697
9,221890,221897
10,222090,222097
11,222270,222297
1,222570,222498
7,222700,222698
5,222890,222898
2,223150,223098
12,223270,223298
8,223530,223499
6,223690,223699
3,223920,223899
9,224090,224099
4,224260,224300
10,224500,224500
1,224730,224700
11,224900,224900
5,225070,225100
7,225300,225301
12,225700,225730
2,225890,225931
6,226110,226131
8,226330,226332
9,226540,226532
3,226780,226733
10,226940,226934
4,227090,227134
11,227320,227335
1,227550,227535
7,227720,227736
5,227940,227936
2,228130,228137
12,228290,228338
8,228530,228538
6,228710,228739
3,229010,228939
9,229120,229140
4,229350,229340
10,229520,229541
11,229750,229741
7,229960,229942
1,230170,230143
