11,91100
12,91330
9,91460
3,91690
7,91900
5,92110
2,92280
10,92440
6,92660
4,92880
8,93020
11,93260
1,93430
12,93640
3,93820
9,94070
5,94240
7,94470
10,94830
2,95010
4,95290
6,95510
11,95750
8,95820
12,96110
1,96230
9,96450
3,96670
7,96880
5,97090
10,97240
4,97430
2,97620
11,97830
6,98070
8,98210
1,98430
12,98600
9,98800
7,98970
3,99230
5,99480
4,99850
10,100000
11,100220
2,100390
8,100580
6,100870
12,101060
1,101220
7,101400
9,101580
5,101820
3,102050
10,102210
4,102400
2,102620
11,102770
6,103050
8,103180
12,103430
7,103570
1,103830
9,103990
3,104240
5,104420
4,104800
10,105040
11,105230
2,105410
8,105560
6,105800
7,106010
12,106240
9,106410
1,106600
5,106810
3,107080
4,107180
11,107350
10,107570
8,107760
2,107970
7,108170
6,108380
12,108560
1,108770
9,108970
3,109200
5,109410
11,109840
4,110010
8,110160
10,110380
7,110600
2,110790
12,111010
6,111200
9,111350
1,111540
5,111810
3,112040
4,112180
11,112400
10,112570
8,112750
2,112940
7,113130
6,113380
12,113520
9,113750
5,113960
1,114150
3,114400
11,114810
4,115000
8,115150
10,115400
7,115570
2,115740
12,115970
6,116200
5,116380
9,116570
3,116790
1,117000
11,117140
8,117320
4,117530
7,117750
10,117950
12,118160
2,118330
5,118540
6,118740
9,118950
1,119140
3,119360
8,119740
11,120000
7,120120
4,120340
12,120600
10,120730
5,120940
2,121130
9,121300
6,121570
3,121780
1,121970
11,122090
8,122300
4,122510
7,122690
10,122900
12,123120
2,123280
5,123500
6,123730
9,123930
3,124090
1,124340
8,124780
11,125000
7,125120
4,125330
12,125550
10,125740
5,125930
2,126090
9,126270
6,126560
1,126730
3,126930
8,127100
7,127310
11,127510
12,127740
4,127880
5,128090
10,128280
9,128460
2,128680
6,128890
3,129110
1,129310
7,129670
8,129860
12,130140
11,130320
5,130520
4,130740
9,130850
10,131090
6,131310
2,131460
1,131670
3,131900
8,132040
7,132240
11,132430
12,132690
4,132880
5,133080
10,133240
9,133450
6,133670
1,133860
2,134030
3,134260
7,134610
8,134820
12,135110
11,135300
5,135510
4,135700
9,135870
10,136110
1,136290
6,136460
3,136660
2,136850
7,136990
12,137250
8,137370
5,137640
11,137830
9,138090
4,138210
10,138460
6,138650
1,138840
2,139010
3,139220
12,139690
7,139840
5,140030
8,140210
9,140460
11,140730
10,140870
4,141040
1,141260
6,141460
3,141680
2,141850
7,142000
12,142230
8,142390
5,142610
11,142800
9,142990
10,143210
1,143440
4,143660
6,143860
2,144020
3,144240
12,144680
7,144840
5,145020
8,145190
9,145420
11,145680
1,145870
10,146030
6,146280
4,146470
3,146700
2,146850
12,147030
5,147200
7,147380
9,147580
8,147740
11,147990
10,148210
1,148430
6,148630
3,148820
4,149060
2,149230
5,149610
12,149890
9,149960
7,150180
11,150440
8,150600
1,150820
10,151040
3,151210
6,151440
2,151610
4,151810
12,152060
5,152200
7,152360
9,152520
11,152750
1,153020
8,153140
10,153400
6,153590
3,153760
4,154010
2,154210
5,154600
12,154890
9,154990
7,155200
1,155370
11,155590
10,155800
8,156030
3,156200
6,156460
2,156620
4,156800
5,156970
9,157140
12,157380
7,157530
11,157750
1,157960
10,158180
3,158320
8,158560
2,158800
6,159000
4,159230
9,159570
5,159760
7,159970
12,160230
1,160400
11,160610
3,160770
10,160980
2,161140
8,161350
4,161640
6,161840
5,161940
9,162160
7,162330
1,162540
12,162730
11,162860
10,163170
3,163320
8,163560
2,163730
6,164010
4,164240
9,164580
5,164790
1,164980
7,165160
11,165350
12,165640
3,165740
10,165960
2,166110
8,166330
4,166600
6,166820
9,166980
5,167190
7,167330
1,167560
11,167690
3,167920
12,168100
