 194  2317  6 3 7 8 2 4 0 5 9 1 E T   18
 195  2329  3 6 8 2 7 4 5 0 1 9 T E   ?
 196  2341  6 3 2 8 7 4 5 1 0 9 E T   5670
 197  2353  3 6 8 2 4 7 1 5 9 0 T E   -
 198  2365  3 8 6 4 7 2 5 1 9 T 0 E   ?
 199  2377  8 3 4 6 2 7 1 5 T 9 E 0   -
 200  2389  3 8 6 4 2 1 7 5 9 T 0 E   58
 201  2401  8 3 4 6 1 2 5 7 T 9 E 0   -
 202  2413  8 4 3 6 2 1 5 T 7 E 9 0   147
 203  2425  4 8 6 3 1 2 T 5 E 7 0 9   -
 204  2437  8 4 6 1 3 2 5 T 7 E 9 0   36
 205  2449  4 8 1 6 2 3 T 5 E 7 0 9   -
 206  2461  4 8 6 1 2 T 3 E 5 0 7 9   125
 207  2473  8 4 1 6 T 2 E 3 0 5 9 7   -
 208  2485  8 1 4 6 2 T 3 E 5 0 7 9   14
 209  2497  1 8 6 4 T 2 E 3 0 5 9 7   -
 210  2509  8 1 6 T 4 E 2 0 3 9 5 7   3
 211  2521  1 8 T 6 E 4 0 2 9 3 7 5   -
 212  2533  1 8 6 T 4 E 2 0 3 9 5 7   12
 213  2545  8 1 T 6 E 4 0 2 9 3 7 5   -
 214  2557  1 8 T E 6 0 4 9 2 7 3 5   3
 215  2569  8 1 E T 0 6 9 4 7 2 5 3   -
 216  2581  8 E 1 T 6 0 4 9 2 7 3 5   14
 217  2593  E 8 T 1 0 6 9 4 7 2 5 3   -
 218  2605  E 8 1 T 0 9 6 7 4 5 2 3   125
 219  2617  8 E T 1 9 0 7 6 5 4 3 2   -
 220  2629  E 8 T 9 1 0 6 7 4 5 2 3   36
 221  2641  8 E 9 T 0 1 7 6 5 4 3 2   -
 222  2653  8 9 E T 1 0 7 5 6 3 4 2   147
 223  2665  9 8 T E 0 1 5 7 3 6 2 4   -
 224  2677  8 9 E T 0 5 1 7 6 3 4 2   58
 225  2689  9 8 T E 5 0 7 1 3 6 2 4   -
 226  2701  9 T 8 5 E 0 1 7 3 2 6 4   169
 227  2713  T 9 5 8 0 E 7 1 2 3 4 6   -
 228  2725  9 T 8 5 E 0 7 2 1 3 6 4   70
 229  2737  T 9 5 8 0 E 2 7 3 1 4 6   -
 230  2749  T 5 9 0 8 2 E 7 1 3 6 4   18
 231  2761  5 T 0 9 2 8 7 E 3 1 4 6   -
 232  2773  T 5 9 0 8 2 E 7 3 4 1 6   9
 233  2785  5 T 0 9 2 8 7 E 4 3 6 1   -
 234  2797  5 0 T 2 9 7 8 4 E 3 1 6   10
 235  2809  0 5 2 T 7 9 4 8 3 E 6 1   -
 236  2821  5 0 T 2 9 7 8 4 E 3 6 1   E
 237  2833  0 5 2 T 7 9 4 8 3 E 1 6   -
 238  2845  0 2 5 7 T 4 9 3 8 E 6 1   10
 239  2857  2 0 7 5 4 T 3 9 E 8 1 6   -
 240  2869  0 2 5 7 T 4 9 3 E 1 8 6   9
 241  2881  2 0 7 5 4 T 3 9 1 E 6 8   -
 242  2893  2 7 0 4 5 3 T 9 E 1 8 6   18
 243  2905  7 2 4 0 3 5 9 T 1 E 6 8   -
 244  2917  2 7 0 4 5 3 9 1 T E 8 6   70
 245  2929  7 2 4 0 3 5 1 9 E T 6 8   -
 246  2941  7 4 2 3 0 5 9 1 E 6 T 8   169
 247  2953  4 7 3 2 5 0 1 9 6 E 8 T   -
 248  2965  7 4 2 3 5 1 0 9 E 6 T 8   58
 249  2977  4 7 3 2 1 5 9 0 6 E 8 T   -
 250  2989  4 3 7 2 5 1 9 6 0 8 E T   147
 251  3001  3 4 2 7 1 5 6 9 8 0 T E   -
 252  3013  4 3 2 1 7 5 9 6 0 8 E T   36
 253  3025  3 4 1 2 5 7 6 9 8 0 T E   -
 254  3037  3 4 2 1 5 6 7 8 9 T 0 E   125
 255  3049  4 3 1 2 6 5 8 7 T 9 E 0   -
 256  3061  4 1 3 2 5 6 7 8 9 T 0 E   14
 257  3073  1 4 2 3 6 5 8 7 T 9 E 0   -
 258  3085  4 1 2 6 3 8 5 T 7 E 9 0   3
 259  3097  1 4 6 2 8 3 T 5 E 7 0 9   -
 260  3109  1 4 2 6 3 8 5 T 7 E 9 0   12
 261  3121  4 1 6 2 8 3 T 5 E 7 0 9   -
 262  3133  1 4 6 8 2 T 3 E 5 0 7 9   3
 263  3145  4 1 8 6 T 2 E 3 0 5 9 7   -
 264  3157  4 8 1 6 2 T 3 E 5 0 7 9   14
 265  3169  8 4 6 1 T 2 E 3 0 5 9 7   -
 266  3181  8 4 1 6 T E 2 0 3 9 5 7   125
 267  3193  4 8 6 1 E T 0 2 9 3 7 5   -
 268  3205  8 4 6 E 1 T 2 0 3 9 5 7   36
 269  3217  4 8 E 6 T 1 0 2 9 3 7 5   -
 270  3229  4 E 8 6 1 T 0 9 2 7 3 5   147
 271  3241  E 4 6 8 T 1 9 0 7 2 5 3   -
 272  3253  4 E 8 6 T 9 1 0 2 7 3 5   58
 273  3265  E 4 6 8 9 T 0 1 7 2 5 3   -
 274  3277  E 6 4 9 8 T 1 0 7 5 2 3   169
 275  3289  6 E 9 4 T 8 0 1 5 7 3 2   -
 276  3301  E 6 4 9 8 T 0 5 1 7 2 3   70
 277  3313  6 E 9 4 T 8 5 0 7 1 3 2   -
 278  3325  6 9 E T 4 5 8 0 1 7 2 3   18
 279  3337  9 6 T E 5 4 0 8 7 1 3 2   -
 280  3349  6 9 E T 4 5 8 0 7 3 1 2   9
 281  3361  9 6 T E 5 4 0 8 3 7 2 1   -
 282  3373  9 T 6 5 E 0 4 3 8 7 1 2   10
 283  3385  T 9 5 6 0 E 3 4 7 8 2 1   -
 284  3397  9 T 6 5 E 0 4 3 8 7 2 1   E
 285  3409  T 9 5 6 0 E 3 4 7 8 1 2   -
 286  3421  T 5 9 0 6 3 E 7 4 8 2 1   10
 287  3433  5 T 0 9 3 6 7 E 8 4 1 2   -
 288  3445  T 5 9 0 6 3 E 7 8 1 4 2   9
 289  3457  5 T 0 9 3 6 7 E 1 8 2 4   -
 290  3469  5 0 T 3 9 7 6 E 8 1 4 2   18
 291  3481  0 5 3 T 7 9 E 6 1 8 2 4   -
 292  3493  5 0 T 3 9 7 E 1 6 8 4 2   70
 293  3505  0 5 3 T 7 9 1 E 8 6 2 4   -
 294  3517  0 3 5 7 T 9 E 1 8 2 6 4   169
 295  3529  3 0 7 5 9 T 1 E 2 8 4 6   -
 296  3541  0 3 5 7 9 1 T E 8 2 6 4   58
 297  3553  3 0 7 5 1 9 E T 2 8 4 6   -
 298  3565  3 7 0 5 9 1 E 2 T 4 8 6   147
 299  3577  7 3 5 0 1 9 2 E 4 T 6 8   -
 300  3589  3 7 5 1 0 9 E 2 T 4 8 6   36
 301  3601  7 3 1 5 9 0 2 E 4 T 6 8   -
 302  3613  7 3 5 1 9 2 0 4 E 6 T 8   125
 303  3625  3 7 1 5 2 9 4 0 6 E 8 T   -
 304  3637  3 1 7 5 9 2 0 4 E 6 T 8   14
 305  3649  1 3 5 7 2 9 4 0 6 E 8 T   -
 306  3661  3 1 5 2 7 4 9 6 0 8 E T   3
 307  3673  1 3 2 5 4 7 6 9 8 0 T E   -
 308  3685  1 2 3 4 5 6 7 8 9 0 E T   10
 309  3697  1 2 3 4 5 6 7 8 9 0 E T   =
 310  3709  1 2 3 4 5 6 7 8 9 0 E T   =
 311  3721  1 2 3 4 5 6 7 8 9 0 E T   =
 312  3733  1 2 3 4 5 6 7 8 9 0 E T   =
 313  3745  1 2 3 4 5 6 7 8 9 0 E T   =
 314  3757  1 2 3 4 5 6 7 8 9 0 E T   =
